nama_penjara,provinsi
LAPAS NARKOTIKA KELAS II A BANGLI,BALI
LAPAS NARKOTIKA KELAS II A CIREBON,JAWA BARAT
LAPAS NARKOTIKA KELAS II A GUNUNG SINDUR,JAWA BARAT
LAPAS NARKOTIKA KELAS II A JAKARTA,DKI JAKARTA
LAPAS NARKOTIKA KELAS II A JAYAPURA,PAPUA
LAPAS NARKOTIKA KELAS II A KARANG INTAN,KALIMANTAN SELATAN
LAPAS NARKOTIKA KELAS II A KASONGAN,KALIMANTAN TENGAH
LAPAS NARKOTIKA KELAS II A LANGKAT,SUMATERA UTARA
LAPAS NARKOTIKA KELAS II A MUARA BELITI,SUMATERA SELATAN
LAPAS NARKOTIKA KELAS II A NUSAKAMBANGAN,JAWA TENGAH
LAPAS NARKOTIKA KELAS II A PAMEKASAN,JAWA TIMUR
LAPAS NARKOTIKA KELAS II A PANGKAL PINANG,BANGKA BELITUNG
LAPAS NARKOTIKA KELAS II A PEMATANG SIANTAR,SUMATERA UTARA
LAPAS NARKOTIKA KELAS II A SAMARINDA,KALIMANTAN TIMUR
LAPAS NARKOTIKA KELAS II A SUNGGUMINASA,SULAWESI SELATAN
LAPAS NARKOTIKA KELAS II A TANJUNG PINANG,KEPULAUAN RIAU
LAPAS NARKOTIKA KELAS II A YOGYAKARTA,D.I. YOGYAKARTA
LAPAS NARKOTIKA KELAS II B BANYUASIN,SUMATERA SELATAN
LAPAS NARKOTIKA KELAS II B LANGSA,ACEH
LAPAS NARKOTIKA KELAS II B MUARA SABAK,JAMBI
LAPAS NARKOTIKA KELAS II B PURWOKERTO,JAWA TENGAH
LAPAS NARKOTIKA KELAS II B RUMBAI,RIAU
LAPAS NARKOTIKA KELAS III SAWAHLUNTO,SUMATERA BARAT
LAPAS PEMUDA KELAS II A MADIUN,JAWA TIMUR
LAPAS PEMUDA KELAS II A TANGERANG,BANTEN
LAPAS PEMUDA KELAS II B PLANTUNGAN,JAWA TENGAH
LAPAS PEMUDA KELAS III LANGKAT,SUMATERA UTARA
LAPAS PEREMPUAN KELAS II A BANDAR LAMPUNG,LAMPUNG
LAPAS PEREMPUAN KELAS II A BANDUNG,JAWA BARAT
LAPAS PEREMPUAN KELAS II A DENPASAR,BALI
LAPAS PEREMPUAN KELAS II A JAKARTA,DKI JAKARTA
LAPAS PEREMPUAN KELAS II A MALANG,JAWA TIMUR
LAPAS PEREMPUAN KELAS II A MARTAPURA,KALIMANTAN SELATAN
LAPAS PEREMPUAN KELAS II A MEDAN,SUMATERA UTARA
LAPAS PEREMPUAN KELAS II A PALANGKARAYA,KALIMANTAN TENGAH
LAPAS PEREMPUAN KELAS II A PALEMBANG,SUMATERA SELATAN
LAPAS PEREMPUAN KELAS II A PEKANBARU,RIAU
LAPAS PEREMPUAN KELAS II A PONTIANAK,KALIMANTAN BARAT
LAPAS PEREMPUAN KELAS II A SAMARINDA,KALIMANTAN TIMUR
LAPAS PEREMPUAN KELAS II A SEMARANG,JAWA TENGAH
LAPAS PEREMPUAN KELAS II A SUNGGUMINASA,SULAWESI SELATAN
LAPAS PEREMPUAN KELAS II A TANGERANG,BANTEN
LAPAS PEREMPUAN KELAS II B BATAM,KEPULAUAN RIAU
LAPAS PEREMPUAN KELAS II B BENGKULU,BENGKULU
LAPAS PEREMPUAN KELAS II B JAMBI,JAMBI
LAPAS PEREMPUAN KELAS II B KUPANG,NUSA TENGGARA TIMUR
LAPAS PEREMPUAN KELAS II B MANADO,SULAWESI UTARA
