"Nama","Alamat","Telepon","Kategori_ID","Kategori_EN","Nomor_Keputusan","Tanggal_Keputusan","Nama_Produk","Tempat_Perizinan","Tanggal_Operasional","Keterangan_ID","Keterangan_EN","Lampiran","Status","Tipe","Barcode","Email","Website"
"PT Haji La Tunrung A.M.C","Jl. A.P. Pettarani Komp. Ruko Bisnis Center III Blok C No. 1, Makassar","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13 / 6 / DPM / PVAd / MKS,","09/09/2011","","KPwBI Provinsi Sulawesi Selatan","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0396.022/0001","",""
"PT Omni Pay Transfer Dana","Grha Inti lt. 7, Suite #710 & #711, Jl. Raya Kalimalang No. 87, Jakarta Timur13430","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/87/DASP/34","08/26/2011","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0001.001/0028","",""
"PT Valuta Indojaya Prima","Jl. Urip Sumoharjo No.40 Surakarta","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/1/KEP.GBI/Slo/2011","08/24/2011","","KPwBI Solo","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0707.001/0004","",""
"PT Pradnyana Artha Mandiri","Jl. Pantai Kuta (Kuta Bex), Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/159/DPM/P3PVA/Dpr","08/18/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0099.006/0011","",""
"PT Golden Remittance","Jl. Ir. H. Juanda No. 89, Bandung","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/85/Bd/2","08/18/2011","","KPwBI Provinsi Jawa Barat","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0003.001/0002","",""
"PT Bina Putra Sadaya","Jl. Ion Martasasmita No. 54 RT 16 RW 04, Desa Rancasari, Pamanukan, Subang","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/86/Bd/3","08/18/2011","","KPwBI Provinsi Jawa Barat","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0003.001/0003","",""
"PT Neptunus Bimasakti Valasindo","Ruko Fifth Avenue Blok A No.06, Jl. Boulevard Raya Gading Serpong-Tangerang 15810","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/1/KEP.GBI/Sr/2011","08/15/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0706.001/0031","",""
"PT Neptunus Berkat Valasindo","Jl Raya bintaro utama sektor 3a, rukan blok a/17, Bintaro Jaya, Tangerang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/5/KEP.GBI/Sr/2011","08/15/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0635.001/0025","",""
"PT Debe Money Changer","Jalan T. Hasan Dek Nomor 190 D Jambotapee, Banda  Aceh","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/2/KEP.GBI/BNA/2011","08/05/2011","","KPwBI Provinsi Aceh","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0705.001/0003","",""
"PT Azzahra Maulana","Jl. Raya Canggu No.11X, Kerobokan, Kuta, Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/8/KEP.GBI/Dpr/2011","08/03/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0704.001/0100","",""
"PT Azzahra Maulana","Jl. By Pass Ngurah Rai No. 79, Dusun Batanpoh, Desa Sanur Kaja, Kec. Denpasar Selatan, Denpasar, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/8/KEP.GBI/Dpr/2011","08/03/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0704.008/0100","",""
"PT Azzahra Maulana","Jl. By Pass Siligita No. 6XX lingk. Bualu, Kel. Benoa, Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/8/KEP.GBI/Dpr/2011","08/03/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0704.009/0100","",""
