Nama Penyelenggara	Alamat	Telepon	Kategori ID	Kategori EN	Nomor Surat	Tanggal Surat	Status	Keterangan ID	Keterangan EN
PT BPD Jawa Barat dan Banten, Tbk.	Bandung		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/10/KEP.KADEP.DPPK/2017	08/07/2017	1		
PT EXCO Nusantara Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/9/KEP.KADEP.DPPK/2017	08/02/2017	1		
PT Tradition Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/7/KEP.KADEP.DPPK/2017	08/01/2017	1		
PT RHB Sekuritas Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/8/KEP.KADEP.DPPK/2017	08/01/2017	1		
PT Bank KEB Hana Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/5/KEP.KADEP.DPPK/2017	07/31/2017	1		
PT Bank Commonwealth	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/6/KEP.KADEP.DPPK/2017	07/31/2017	1		
PT Danareksa Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/1/KEP.KADEP.DPPK/2017	07/24/2017	1		
PT Indo Premier Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/2/KEP.KADEP.DPPK/2017	07/24/2017	1		
PT CIMB Sekuritas Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/4/KEP.KADEP.DPPK/2017	07/24/2017	1		
Citibank N.A. Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/3/KEP.KADEP.DPPK/2017	07/24/2017	1		
PT Amstel Indonesia	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	11/1/DpG/DPD	01/21/2009	1		
PT Pilar Dana	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	9/75/DpG/DPD	05/14/2007	1		
PT Global Sarana Lintas Artha	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	4/71/DPD	05/24/2002	1		
PT Bimasena Artha Internasional	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	25/51/KEP/DIR	07/31/1992	1		
PT Tradition Indonesia 	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	25/50/KEP/DIR	07/30/1992	1		
PT Exco Nusantara Indonesia	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	25/39/KEP/DIR	07/08/1992	1		
PT Inti Tullett Pribon	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	25/36/KEP/DIR	07/06/1992	1		
PT Nusantara Mahabakti	Jakarta		Pialang Pasar Uang Rupiah dan Pasar Valas	Rupiah and Foreign Exchange Market Brokers	25/30/KEP/DIR	06/26/1992	1		
