penerbit,no_anggota,wilayah,tahun_masuk,anggota_luar_biasa
Ref Graphika,403/DKI/2010,DKI Jakarta,2010,0
Inti Prima Promosindo,404/DKI/2010,DKI Jakarta,2010,0
Visi Insani Publishing,405/DKI/2010,DKI Jakarta,2010,0
Warta Mitra Mandiri,406/DKI/2010,DKI Jakarta,2010,0
Titian Pena Abadi,407/DKI/2010,DKI Jakarta,2010,0
Eureka Bookhouse,408/DKI/2010,DKI Jakarta,2010,0
Gramata Publishing,409/DKI/2010,DKI Jakarta,2010,0
Mitra Wacana Media,410/DKI/2010,DKI Jakarta,2010,0
Wormer Jaya,411/DKI/2010,DKI Jakarta,2010,0
Pustaka Cendekia Muda,412/DKI/2010,DKI Jakarta,2010,0
PT. Multazam Mulia Utama,413/DKI/2010,DKI Jakarta,2010,0
UD. Dastan Books,414/DKI/2010,DKI Jakarta,2010,0
PT. Penerbit Citra,415/DKI/2010,DKI Jakarta,2010,0
Foresight Asia,416/DKI/2010,DKI Jakarta,2010,0
Progressio Radian Optima,417/DKI/2010,DKI Jakarta,2010,0
Doenia Tali Kata Publishing House,418/DKI/2010,DKI Jakarta,2010,0
Khazanah Mimbar Plus,419/DKI/2010,DKI Jakarta,2010,0
Setia Kawan,420/DKI/2011,DKI Jakarta,2011,0
Inti Medina,421/DKI/2011,DKI Jakarta,2011,0
Pustaka Tiga Kelana,422/DKI/2011,DKI Jakarta,2011,0
Potensa Mitra Sinergi,423/DKI/2011,DKI Jakarta,2011,0
Erlass Prokreatif Indonesia,424/DKI/2011,DKI Jakarta,2011,0
Bellabook Media,425/DKI/2011,DKI Jakarta,2011,0
Tirta Media,426/DKI/2011,DKI Jakarta,2011,0
Mahkota Ilmu,427/DKI/2011,DKI Jakarta,2011,0
Wadah Ilmu,428/DKI/2011,DKI Jakarta,2011,0
Muliapurna Jayaterbit,429/DKI/2011,DKI Jakarta,2011,0
Mahmud Yunus Wadzuryah,430/DKI/2011,DKI Jakarta,2011,0
Pustaka Bina Bangsa,431/DKI/2011,DKI Jakarta,2011,0
Sapta Sentosa,432/DKI/2011,DKI Jakarta,2011,0
Fakultas Seni Rupa Institut Kesenian Jakarta,433/DKI/2011,DKI Jakarta,2011,0
Darul Ilmi (Darul Ilmi Publishing),434/DKI/2011,DKI Jakarta,2011,0
Dar Al-Kutub Al-Islamiyah,435/DKI/2011,DKI Jakarta,2011,0
Kreasi Prima Jaya,436/DKI/2011,DKI Jakarta,2011,0
Pro You,437/DKI/2011,DKI Jakarta,2011,0
Jabal Rohmat,438/DKI/2011,DKI Jakarta,2011,0
Readboy Indonesia,439/DKI/2011,DKI Jakarta,2011,0
Milenia Pustaka,440/DKI/2012,DKI Jakarta,2012,0
Jabal Hilal,441/DKI/2012,DKI Jakarta,2012,0
Mediatama Saptakarya,442/DKI/2012,DKI Jakarta,2012,0
Indesain Semesta,443/DKI/2012,DKI Jakarta,2012,0
Lajnah Pentashihan Mushaf Al-Qur?an (LPMA),444/DKI/2012,DKI Jakarta,2012,0
Indonesia Agency For Agricultural Research and Development (IAARD) Press,445/DKI/2012,DKI Jakarta,2012,0
JS Benaiah Books,446/DKI/2012,DKI Jakarta,2012,0
Concern Group Indonesia,447/DKI/2012,DKI Jakarta,2012,0
Hijau Daun,448/DKI/2012,DKI Jakarta,2012,0
Duta Harapan Dunia,449/DKI/2012,DKI Jakarta,2012,0
BAB Publishing,450/DKI/2012,DKI Jakarta,2012,0
Republika Media Mandiri,451/DKI/2013,DKI Jakarta,2013,0
Lembaga Perguruan Tinggi Teologi Indonesia,452/DKI/2013,DKI Jakarta,2013,0
Bisnis Indonesia Gagaskreasitama,453/DKI/2013,DKI Jakarta,2013,0
Indonesia Marine Anda Fisheries Socia-Economi Reasearch Network,454/DKI/2013,DKI Jakarta,2013,0
Griya Ilmu,455/DKI/2013,DKI Jakarta,2013,0
Pustaka Al Ghifari,456/DKI/2013,DKI Jakarta,2013,0
Fajar Cahaya Mandiri,457/DKI/2013,DKI Jakarta,2013,0
Ercontara Rajawali,458/DKI/2013,DKI Jakarta,2013,0
Pelangi Ilmu Nusantara,459/DKI/2013,DKI Jakarta,2013,0
Aku Bisa,460/DKI/2013,DKI Jakarta,2013,0
Trisula Adisakti,461/DKI/2013,DKI Jakarta,2013,0
Widya Cahaya,462/DKI/2013,DKI Jakarta,2013,0
Pustaka Imam Bonjol,463/DKI/2013,DKI Jakarta,2013,0
Puslitbang Badan Metreologi Klimatologi Dan Geofisika,464/DKI/2013,DKI Jakarta,2013,0
Trans Info Media,465/DKI/2013,DKI Jakarta,2013,0
Pesona Edukasi,466/DKI/2013,DKI Jakarta,2013,0
Suara Agung,467/DKI/2013,DKI Jakarta,2013,0
Lembaga Penerbit Badan Penelitian dan Pengembangan Kesehatan (LPB),468/DKI/2013,DKI Jakarta,2013,0
Nagakusuma Media Kreatif,469/DKI/2013,DKI Jakarta,2013,0
Indomedia Global,470/DKI/2013,DKI Jakarta,2013,0
Multi Kreasi Satudelapan,471/DKI/2013,DKI Jakarta,2013,0
Pustaka Mulia,472/DKI/XII/2013,DKI Jakarta,2013,0
Publica Press Lembaga,473/DKI/XII/2013,DKI Jakarta,2013,0
Cahaya Pineleng,474/DKI/XII/2013,DKI Jakarta,2013,0
Univ. Muhammadiyah Jakarta Press (UMJ PRESS),475/DKI/IV/2014,DKI Jakarta,2014,0
Badan Pengkajian dan Penerapan Teknologi (BPPT Press),476/DKI/IV/2014,DKI Jakarta,2014,0
Multi Cerdas Indonesia,477/DKI/IV/2014,DKI Jakarta,2014,0
Bina Prestasi Insani,478/DKI/IV/2014,DKI Jakarta,2014,0
Zaytuna Ufuk Abadi,479/DKI/IV/2014,DKI Jakarta,2014,0
Integral Data Prima,481/DKI/IV/2014,DKI Jakarta,2014,0
Cemerlang Panca Aksara,483/DKI/IV/2014,DKI Jakarta,2014,0
Suara Harapan Baru,484/DKI/IV/2014,DKI Jakarta,2014,0
Lentera Ilmu Cendekia,485/DKI/IV/2014,DKI Jakarta,2014,0
Perisai Qur'an,486/DKI/VII/2014,DKI Jakarta,2014,0
Penerbitan Pascasarjana IKJ,487/DKI/VII/2014,DKI Jakarta,2014,0
Utan Kayu Sejati,488/DKI/VII/2014,DKI Jakarta,2014,0
Opuss Agrapana Mandiri,489/DKI/VII/2014,DKI Jakarta,2014,0
quadra inti solusi,491/DKI/VII/2014,DKI Jakarta,2014,0
indraprasta pgri,492/DKI/VII/2014,DKI Jakarta,2014,0
uhamka,493/DKI/VII/2014,DKI Jakarta,2014,0
wortel books,494/DKI/VII/2014,DKI Jakarta,2014,0
Wadi Berkah Abadi,496/DKI/X/2014,DKI Jakarta,2014,0
Trustco Cipta Madani,497/DKI/X/2014,DKI Jakarta,2014,0
Pilar Utama Mandiri,498/DKI/X/2014,DKI Jakarta,2014,0
Sulaksana Watinsa Indonesia,499/DKI/X/2014,DKI Jakarta,2014,0
Miswar,500/DKI/X/2014,DKI Jakarta,2014,0
Badan Penelitian dan Pengembangan Kementrian Kelautan dan Perikanan (Amafrad Press),501/DKI/II/2014,DKI Jakarta,2014,0
Rayyana Komunikasindo,502/DKI/2015,DKI Jakarta,2015,0
Penerbit Lentera Abadi,504/DKI/2015,DKI Jakarta,2015,0
Wahana Inspirasi Nusantara,505/DKI/2015,DKI Jakarta,2015,0
Pustaka Al Mubin Semesta,506/DKI/2015,DKI Jakarta,2015,0
Badan Penerbit FKUI,507/DKI/2015,DKI Jakarta,2015,0
Educarindo Compumedia Utama,508/DKI/2015,DKI Jakarta,2015,0
Visimedia Pustaka,509/DKI/2015,DKI Jakarta,2015,0
Lintas Kata Sarana,510/DKI/2015,DKI Jakarta,2015,0
Agromedia Pustaka,511/DKI/2015,DKI Jakarta,2015,0
Tangga Pustaka,512/DKI/2015,DKI Jakarta,2015,0
Widya Sarana Informatika,513/DKI/2015,DKI Jakarta,2015,0
Batan Press,514/DKI/2015,DKI Jakarta,2015,0
Binar Cahaya Semesta,515/DKI/2015,DKI Jakarta,2015,0
Senja Media Utama,516/DKI/2015,DKI Jakarta,2015,0
Fatih Samudera Benua,517/DKI/2015,DKI Jakarta,2015,0
Bina Sumber Daya Mipa,518/DKI/2015,DKI Jakarta,2015,0
Permata Equator Media,519/DKI/2015,DKI Jakarta,2015,0
Demedia Pustaka,520/DKI/2015,DKI Jakarta,2015,0
Bukune Kreatif Cipta,521/DKI/2015,DKI Jakarta,2015,0
Indonesia Tera,522/DKI/2015,DKI Jakarta,2015,0
Otheten Pusgrafin Jakarta (Polimedia Publishing),523/DKI/2015,DKI Jakarta,2015,0
Dunamis Intrasarana,524/DKI/2015,DKI Jakarta,2015,0
Tempo Inti Media,525/DKI/2016,DKI Jakarta,2016,0
Gwu Sarana Komunikasi,526/DKI/2016,DKI Jakarta,2016,0
Cerah Budaya Indonesia,527/DKI/2016,DKI Jakarta,2016,0
Indomulti Media,528/DKI/2016,DKI Jakarta,2016,0
Universitas Islam Jakarta (UIJ) Press,529/DKI/2016,DKI Jakarta,2016,0
Lubang Kelinci Indonesia,530/DKI/2016,DKI Jakarta,2016,0
Haula Sejahtera (Haula Publishing),531/DKI/2016,DKI Jakarta,2016,0
Gelora Swara Mahardika,532/DKI/2016,DKI Jakarta,2016,0
Armada Buana Prima,533/DKI/2016,DKI Jakarta,2016,0
Sulthan Press,534/DKI/2016,DKI Jakarta,2016,0
Sukarya & Sukarya Pandetama,535/DKI/2016,DKI Jakarta,2016,0
Sandiarta Sukses,536/DKI/2016,DKI Jakarta,2016,0
Lembaga Administrasi Negara Press (LAN),537/DKI/2017,DKI Jakarta,2017,0
Potensi Titian Siswa,538/DKI/2017,DKI Jakarta,2017,0
Marketeer Internasional,539/DKI/2017,DKI Jakarta,2017,0
Koperasi Konstitusi,540/Anggota Luar Biasa/DKI/2017,DKI Jakarta,2017,1
Inkubator Penulis Indonesia,541/DKI/2017,DKI Jakarta,2017,0
Sumber Citra Lestari,542/DKI/2017,DKI Jakarta,2017,0
Grafika Estetika Atria (Afterhours Books),543/DKI/2017,DKI Jakarta,2017,0
Kompas Media Nusantara (Penerbit Buku Kompas),544/DKI/2017,DKI Jakarta,2017,0
Penelitian dan Pengembangan Pendidikan dan Pelatihan (LITBANGDIKLAT PRESS),545/Anggota Luar Biasa/DKI/2017,DKI Jakarta,2017,1
Bumi Semesta Media,546/DKI/2017,DKI Jakarta,2017,0
Yayasan Wali Pustaka,547/DKI/2017,DKI Jakarta,2017,0
Lintas Media,548/DKI/2017,DKI Jakarta,2017,0
Pusat Studi Veda dan Dharma,549/DKI/2017,DKI Jakarta,2017,0
Suhud Sentrautama,001/BANTEN/02,Banten,2002,0
Winata Kreasi,002/BANTEN/09,Banten,2009,0
Wahana Cipta Mandiri,003/BANTEN/09,Banten,2009,0
Mega Mitra Kreasindo,004/BANTEN/2012,Banten,2012,0
Rajawali Arta Mandiri,005/BANTEN/2012,Banten,2012,0
Delta Edukasi Prima,006/BANTEN/2012,Banten,2012,0
Sengpho Utama,007/BANTEN/2013,Banten,2013,0
Bukindo Erakarya,008/BANTEN/2013,Banten,2013,0
Carofin Media,009/BANTEN/2013,Banten,2013,0
Yudha Pratama Mandiri,010/BANTEN/2014,Banten,2014,0
Pustaka Kompas,011/BANTEN/2014,Banten,2014,0
Albasil Aksara,012/BANTEN/2014,Banten,2014,0
Loka Aksara,013/BANTEN/2014,Banten,2014,0
Mustika Ilmu,014/BANTEN/2013,Banten,2013,0
Mahara Publishing,015/Banten/2015,Banten,2015,0
Aksara Pustaka Edukasi,016/Banten/2015,Banten,2015,0
Risalah Nur Press,017/Banten/2015,Banten,2015,0
La Tansa Mashiro Publisher,018/Banten/2015,Banten,2015,0
Sari Ilmu Persada,019/Banten/2015,Banten,2015,0
Laksita Indonesia,020/Banten/2015,Banten,2015,0
Alamedia Peraga Edu,021/Banten/2016,Banten,2016,0
Bentara Aksara Cahaya,022/Banten/2016,Banten,2016,0
Gong Publishing,023/Banten/2016,Banten,2016,0
Yayasan Bina Cendekia (Taxsys Publishing),024/Banten/2017,Banten,2017,0
Asta Ilmu Sukses,025/Banten/2017,Banten,2017,0
Tirtasmart,026/Banten/2017,Banten,2017,0
Unpam Press,027/Banten/2017,Banten,2017,0
Ihsan Media,028/Banten/2017,Banten,2017,0
Adhika Eka Sarana,001/JBA/93,Jawa Barat,1993,0
Agia Media,002/JBA/96,Jawa Barat,1996,0
Al?Bayan,003/JBA/94,Jawa Barat,1994,0
Alfabeta,004/JBA/92,Jawa Barat,1992,0
Al?Ma?arif,005/JBA/68,Jawa Barat,1968,0
Alqa Print,006/JBA/99,Jawa Barat,1999,0
Alumni,007/JBA/75,Jawa Barat,1975,0
Andira,008/JBA/94,Jawa Barat,1994,0
Angkasa,009/JBA/66,Jawa Barat,1966,0
Armico,010/JBA/82,Jawa Barat,1982,0
Bina Budhaya,011/JBA/81,Jawa Barat,1981,0
Bina Siswa,012/JBA/90,Jawa Barat,1990,0
Bina Wiraswasta Insan Indonesia,013/JBA/97,Jawa Barat,1997,0
Citra Aditya Bakti,014/JBA/86,Jawa Barat,1986,0
Citra Karya Utama Press,015/JBA/94,Jawa Barat,1994,0
Citra Kencana,016/JBA/00,Jawa Barat,2000,0
Citra Penamas,017/JBA/94,Jawa Barat,1994,0
Citra Pindo,018/JBA/96,Jawa Barat,1996,0
Dharma Karya Cipta,019/JBA/93,Jawa Barat,1993,0
Diponegoro,020/JBA/95,Jawa Barat,1995,0
Djatnika,021/JBA/85,Jawa Barat,1985,0
Dwi Rama,022/JBA/93,Jawa Barat,1993,0
Enkazet,023/JBA/95,Jawa Barat,1995,0
Epsilon Grup,024/JBA/87,Jawa Barat,1987,0
Fitri,025/JBA/96,Jawa Barat,1996,0
Ganeca Exact,026/JBA/83,Jawa Barat,1983,0
Ganeca Exact Bandung,026/JBA/83,Jawa Barat,1983,0
Geger Sunten,027/JBA/91,Jawa Barat,1991,0
Grafindo Media Pratama,028/JBA/96,Jawa Barat,1996,0
Humaniora Utama Press,029/JBA/91,Jawa Barat,1991,0
Indah Jaya Adipratama,030/JBA/83,Jawa Barat,1983,0
Indonesia Publishing House,031/JBA/94,Jawa Barat,1994,0
Indra Prahasta,032/JBA/94,Jawa Barat,1994,0
Informatika,033/JBA/99,Jawa Barat,1999,0
ITB,034/JBA/92,Jawa Barat,1992,0
Kalam Hidup,035/JBA/93,Jawa Barat,1993,0
Karang Sewu,036/JBA/94,Jawa Barat,1994,0
Karsa Mandiri,037/JBA/99,Jawa Barat,1999,0
Karya Kita,038/JBA/87,Jawa Barat,1987,0
Karyaputri Wardhani,039/JBA/95,Jawa Barat,1995,0
Lembaga Literatur Baptis,040/JBA/96,Jawa Barat,1996,0
Lubuk Agung,041/JBA/86,Jawa Barat,1986,0
M2S,042/JBA/86,Jawa Barat,1986,0
Mandar Maju,043/JBA/92,Jawa Barat,1992,0
Media Iptek Bandung,044/JBA/92,Jawa Barat,1992,0
Media Pajajaran Waratama,045/JBA/95,Jawa Barat,1995,0
Megindo Tunggal Sejahtera,046/JBA/98,Jawa Barat,1998,0
Mizan Pustaka,047/JBA/84,Jawa Barat,1984,0
Mughni Sejahtera,048/JBA/00,Jawa Barat,2000,0
Multi Adiwiyata,049/JBA/96,Jawa Barat,1996,0
Nuansa Majalengka,050/JBA/95,Jawa Barat,1995,0
P & G Kilat Jaya,051/JBA/93,Jawa Barat,1993,0
Pakar Raya,052/JBA/93,Jawa Barat,1993,0
Paramaartha Maju,053/JBA/70,Jawa Barat,1970,0
Paramedia Komunikatama,054/JBA/96,Jawa Barat,1996,0
Pembangunan Jaya,055/JBA/94,Jawa Barat,1994,0
Pionir Jaya,056/JBA/92,Jawa Barat,1992,0
Pribumi Mekar,057/JBA/99,Jawa Barat,1999,0
Pustaka Adhigama,058/JBA/93,Jawa Barat,1993,0
Pustaka Buana,059/JBA/85,Jawa Barat,1985,0
Pustaka Hidayah,060/JBA/97,Jawa Barat,1997,0
Pustaka Litera Antar Nusa,061/JBA/95,Jawa Barat,1995,0
Pustaka Madani,062/JBA/99,Jawa Barat,1999,0
Pustaka Setia,063/JBA/93,Jawa Barat,1993,0
Putra A Bardin,064/JBA/99,Jawa Barat,1999,0
Ramadan,065/JBA/93,Jawa Barat,1993,0
Refika Aditama,066/JBA/93,Jawa Barat,1993,0
Regina,067/JBA/97,Jawa Barat,1997,0
Remaja Rosda Karya,068/JBA/95,Jawa Barat,1995,0
Rinjani,069/JBA/98,Jawa Barat,1998,0
Salam Prima Media,070/JBA/99,Jawa Barat,1999,0
Sarana Cipta Ilmu,071/JBA/91,Jawa Barat,1991,0
Sarana Panca Karya Nusa,072/JBA/95,Jawa Barat,1995,0
Siger Tengah,073/JBA/93,Jawa Barat,1993,0
Sinar Baru Algensindo,074/JBA/85,Jawa Barat,1985,0
Sony Sugema Presindo,075/JBA/97,Jawa Barat,1997,0
Sulita,076/JBA/80,Jawa Barat,1980,0
Tarate,077/JBA/68,Jawa Barat,1968,0
Tarsito,078/JBA/81,Jawa Barat,1981,0
Theme 76,079/JBA/95,Jawa Barat,1995,0
Titian Ilmu,080/JBA/93,Jawa Barat,1993,0
Trigenda Karya,081/JBA/96,Jawa Barat,1996,0
Wahana Iptek Bandung,082/JBA/97,Jawa Barat,1997,0
Maulana,083/JBA/97,Jawa Barat,1997,0
Dananjaya,084/JBA/96,Jawa Barat,1996,0
Subur Abadi,085/JBA/97,Jawa Barat,1997,0
Ekonomi,086/JBA/,Jawa Barat,JBA/,0
Kiblat Buku Utama,087/JBA/01,Jawa Barat,2001,0
Multi Grafix Nusantara,088/JBA/01,Jawa Barat,2001,0
Yrama Widya,089/JBA/01,Jawa Barat,2001,0
Mizan Media Utama,090/JBA/01,Jawa Barat,2001,0
Usaha Jaya Pratama,091/JBA/01,Jawa Barat,2001,0
Muara Indah,092/JBA/01,Jawa Barat,2001,0
Karya Putra Darwati,093/JBA/01,Jawa Barat,2001,0
Asy Syaamil,094/JBA/01,Jawa Barat,2001,0
Prima Netcom Inaya,095/JBA/01,Jawa Barat,2001,0
Acarya Media Utama,096/JBA/03,Jawa Barat,2003,0
Architecture & Communication (Foris Publishing),097/JBA/03,Jawa Barat,2003,0
Cendekia Paramuda Insani,098/JBA/03,Jawa Barat,2003,0
Empat Pesona,099/JBA/03,Jawa Barat,2003,0
Mutiara Qolbun Saliim,100/JBA/03,Jawa Barat,2003,0
Nexx Media,101/JBA/03,Jawa Barat,2003,0
Nuansa Cendekia,102/JBA/03,Jawa Barat,2003,0
Penerbit Jumaanatul?Aliyy-Art,103/JBA/03,Jawa Barat,2003,0
Pustaka Grafika,104/JBA/03,Jawa Barat,2003,0
Pustaka Umat,105/JBA/03,Jawa Barat,2003,0
Idola Indonesia,106/JBA/03,Jawa Barat,2003,0
Delfajar Utama,107/JBA/03,Jawa Barat,2003,0
Bangun Cipta Sejahtera,108/JBA/03,Jawa Barat,2003,0
Bangun Dinamika Sejahtera,109/JBA/03,Jawa Barat,2003,0
Cipta Cekas Grafika,110/JBA/03,Jawa Barat,2003,0
FokusMedia,111/JBA/03,Jawa Barat,2003,0
Jasa Grafika Indonesia,112/JBA/03,Jawa Barat,2003,0
Priangan Asri,113/JBA/03,Jawa Barat,2003,0
Renira Ananda,114/JBA/03,Jawa Barat,2003,0
Sekar Gambir Asri,115/JBA/03,Jawa Barat,2003,0
Bina Media Informasi,116/JBA/03,Jawa Barat,2003,0
Falah Production,117/JBA/03,Jawa Barat,2003,0
Persona,118/JBA/03,Jawa Barat,2003,0
Sarana Penunjang Pendidikan,119/JBA/03,Jawa Barat,2003,0
Habsa Jaya,120/JBA/03,Jawa Barat,2003,0
Bunaya Kreasi Multidimensi,121/JBA/03,Jawa Barat,2003,0
Palwamukti,122/JBA/03,Jawa Barat,2003,0
Vilawa,123/JBA/03,Jawa Barat,2003,0
Mitra Pustaka,124/JBA/03,Jawa Barat,2003,0
Walatra,125/JBA/03,Jawa Barat,2003,0
Niagara,126/JBA/03,Jawa Barat,2003,0
Cahaya Bahagia,127/JBA/03,Jawa Barat,2003,0
Usaha Jaya,128/JBA/03,Jawa Barat,2003,0
Pustaka Ady,129/JBA/03,Jawa Barat,2003,0
Satya Historika,130/JBA/04,Jawa Barat,2004,0
Pudak Scientific,131/JBA/04,Jawa Barat,2004,0
Putra Setia,132/JBA/04,Jawa Barat,2004,0
Sanjarindo Sarana Utama,133/JBA/04,Jawa Barat,2004,0
Unisba (Universitas Islam Bandung),134/JBA/04,Jawa Barat,2004,0
Balebat Dedikasi Prima,135/JBA/04,Jawa Barat,2004,0
Pustaka Bani Quraisy,136/JBA/04,Jawa Barat,2004,0
Granesia,137/JBA/04,Jawa Barat,2004,0
Citra Praya,138/JBA/04,Jawa Barat,2004,0
Thursina Mediana Utama,139/JBA/04,Jawa Barat,2004,0
Manajemen Qolbu Pustaka Berhikmah,140/JBA/04,Jawa Barat,2004,0
Utomo,141/JBA/04,Jawa Barat,2004,0
Simbiosa Rekatama Media,142/JBA/04,Jawa Barat,2004,0
Sinergi Pustaka Indonesia,143/JBA/04,Jawa Barat,2004,0
Mujahid Press,144/JBA/04,Jawa Barat,2004,0
Danamartha Sejahtera,145/JBA/05,Jawa Barat,2005,0
Pelita Ilmu,146/JBA/05,Jawa Barat,2005,0
Elisa Surya Dwitama,147/JBA/05,Jawa Barat,2005,0
Karya Iptek Bandung,148/JBA/05,Jawa Barat,2005,0
Khazanah Intelektual,149/JBA/06,Jawa Barat,2006,0
Irsyad Baitus Salam,150/JBA/06,Jawa Barat,2006,0
Generasi InfoMedia,151/JBA/06,Jawa Barat,2006,0
Mutiara Ilmu Bandung,152/JBA/06,Jawa Barat,2006,0
Jurnal Info Media,153/JBA/06,Jawa Barat,2006,0
Pustaka Ulumuddin,154/JBA/06,Jawa Barat,2006,0
Ink Media,155/JBA/06,Jawa Barat,2006,0
Kresna Widyaiswara,156/JBA/06,Jawa Barat,2006,0
Nuansa Aulia,157/JBA/06,Jawa Barat,2006,0
Pustaka Islamika,158/JBA/06,Jawa Barat,2006,0
Genesindo,159/JBA/06,Jawa Barat,2006,0
M-Brio Biotekindo,160/JBA/06,Jawa Barat,2006,0
Agung Ilmu,161/JBA/06,Jawa Barat,2006,0
Bina Pustaka,162/JBA/06,Jawa Barat,2006,0
Media Hidayah,163/JBA/06,Jawa Barat,2006,0
Eka Cipta Sentosa,164/JBA/06,Jawa Barat,2006,0
Bina karya,165/JBA/06,Jawa Barat,2006,0
Setia Purna Inves,166/JBA/06,Jawa Barat,2006,0
Putra Mandiri,167/JBA/07,Jawa Barat,2007,0
Prisma Esta Utama,168/JBA/08,Jawa Barat,2008,0
Mitra Sarana,169/JBA/08,Jawa Barat,2008,0
Jaya Abadi,170/JBA/08,Jawa Barat,2008,0
Sygma Examedia Arkanleema,171/JBA/08,Jawa Barat,2008,0
Imperial Bhakti Utama,172/JBA/08,Jawa Barat,2008,0
Bintang Putera Perdana,173/JBA/08,Jawa Barat,2008,0
Jabal Raudhotul Jannah (Penerbit Jabal),174/JBA/08,Jawa Barat,2008,0
Globalindo Universal Multikreasi,175/JBA/08,Jawa Barat,2008,0
Arfino Raya,176/JBA/08,Jawa Barat,2008,0
Manna Wasalwa,177/JBA/08,Jawa Barat,2008,0
Puri Pustaka,178/JBA/08,Jawa Barat,2008,0
IqraMedia,179/JBA/08,Jawa Barat,2008,0
Gaza Publishing,180/JBA/08,Jawa Barat,2008,0
Salamadani Pustaka Semesta,181/JBA/09,Jawa Barat,2009,0
Inti Media Pustaka,182/JBA/09,Jawa Barat,2009,0
Abdi Raya Utama,183/JBA/09,Jawa Barat,2009,0
Oase Mata Air Makna,184/JBA/09,Jawa Barat,2009,0
Visi Anugerah Indonesia,185/JBA/2010,Jawa Barat,2010,0
Nusa Media,186/JBA/2010,Jawa Barat,2010,0
Ardilla Books,187/JBA/2010,Jawa Barat,2010,0
Quacana Cendekia,188/JBA/2010,Jawa Barat,2010,0
Crestpent Press,189/JBA/2010,Jawa Barat,2010,0
Baruna Ilmu Indonesia,190/JBA/2010,Jawa Barat,2010,0
ABCo Sugesti Motivatindo,191/JBA/2010,Jawa Barat,2010,0
Atikan Mandiri,192/JBA/2010,Jawa Barat,2010,0
Penerbit IPB Press,193/JBA/2010,Jawa Barat,2010,0
Bintang Warliartika,194/JBA/2011,Jawa Barat,2011,0
Bagaskoro Mulia Barokah,195/JBA/2011,Jawa Barat,2011,0
Langen Sari,196/JBA/2011,Jawa Barat,2011,0
Anwar Press,197/JBA/2011,Jawa Barat,2011,0
Mitra Utama,198/JBA/2011,Jawa Barat,2011,0
Pusbitari Press,199/JBA/2011,Jawa Barat,2011,0
Bintang Anaway,200/JBA/2011,Jawa Barat,2011,0
Keni,201/JBA/2011,Jawa Barat,2011,0
Latifah Cinta Media,202/JBA/2011,Jawa Barat,2011,0
Esvira Mandiri,203/JBA/2011,Jawa Barat,2011,0
Nur Abadi,204/JBA/2011,Jawa Barat,2011,0
Bukit Mas Mulia,205/JBA/2011,Jawa Barat,2011,0
Amanah,206/JBA/2011,Jawa Barat,2011,0
Nirwana Ilmu,207/JBA/2011,Jawa Barat,2011,0
Pustaka Cendekia Utama,208/JBA/2011,Jawa Barat,2011,0
Rumah Pensil Publisher,209/JBA/2011,Jawa Barat,2011,0
Dian Cipta Sarana,210/JBA/2011,Jawa Barat,2011,0
Sarana Komunikasi Utama,211/JBA/2012,Jawa Barat,2012,0
Media Fitrah Rabbani,212/JBA/2012,Jawa Barat,2012,0
Dinar Cipta Media,213/JBA/2012,Jawa Barat,2012,0
Rudo Maiestas Tata,214/JBA/2012,Jawa Barat,2012,0
Ensiklopedia Nasional Indonesia,215/JBA/2012,Jawa Barat,2012,0
Sekolah Tinggi Kesejahteraan Sosial,216/JBA/2012,Jawa Barat,2012,0
Ikhlas Media,217/JBA/2012,Jawa Barat,2012,0
Putra Kreasi,218/JBA/2012,Jawa Barat,2012,0
Penerbit Lembaga Studi Islam Universitas Islam Bandung,219/JBA/2012,Jawa Barat,2012,0
Tiga Putra,220/JBA/2012,Jawa Barat,2012,0
Komodo Books,221/JBA/2012,Jawa Barat,2012,0
Rawansah,222/JBA/2012,Jawa Barat,2012,0
Anugerah Guna Sarana,223/JBA/2012,Jawa Barat,2012,0
Sarana Tutorial Nurani Sejahtera,224/JBA/2012,Jawa Barat,2012,0
Fahrisindo Media Utama,225/JBA/2012,Jawa Barat,2012,0
Media Pustaka Mandiri,226/JBA/2012,Jawa Barat,2012,0
Penerbit Unswagati (Universitas Swadaya Gunung Jati),227/JBA/2012,Jawa Barat,2012,0
Duta,228/JBA/2013,Jawa Barat,2013,0
Intermedia Personalia Utama,229/JBA/2013,Jawa Barat,2013,0
Dea Art Pustaka,230/JBA/2013,Jawa Barat,2013,0
Cipta Dea Pustaka,231/JBA/2013,Jawa Barat,2013,0
Wacana Gelora Cipta,232/JBA/2013,Jawa Barat,2013,0
Dua Usaha Muda,233/JBA/2013,Jawa Barat,2013,0
Graphia Buana,234/JBA/2013,Jawa Barat,2013,0
Megatama,235/JBA/2013,Jawa Barat,2013,0
Cordoba International,236/JBA/2013,Jawa Barat,2013,0
UNPAD Press,237/JBA/2013,Jawa Barat,2013,0
Graha Mulia Utama,238/JBA/2013,Jawa Barat,2013,0
Terang Mulia Abadi,239/JBA/2013,Jawa Barat,2013,0
Zikrul Hakim Bestari,240/JBA/2013,Jawa Barat,2013,0
Nusa Agung,241/JBA/2013,Jawa Barat,2013,0
Wahana Bina Prestasi,242/JBA/2013,Jawa Barat,2013,0
Widya Padjadjaran,243/JBA/2013,Jawa Barat,2013,0
Alwadi,244/JBA/2013,Jawa Barat,2013,0
Sandiarta Sukses,245/JBA/2013,Jawa Barat,2013,0
